,Source,Target
0,hypertensive disease,pain chest
1,hypertensive disease,shortness of breath
2,hypertensive disease,dizziness
3,hypertensive disease,asthenia
4,hypertensive disease,fall
5,hypertensive disease,syncope
6,hypertensive disease,vertigo
7,hypertensive disease,sweat
8,hypertensive disease,sweating increased
9,hypertensive disease,palpitation
10,hypertensive disease,nausea
11,hypertensive disease,angina pectoris
12,hypertensive disease,pressure chest
13,diabetes,polyuria
14,diabetes,polydypsia
15,diabetes,shortness of breath
16,diabetes,pain chest
17,diabetes,asthenia
18,diabetes,nausea
19,diabetes,orthopnea
20,diabetes,rale
21,diabetes,sweat
22,diabetes,sweating increased
23,diabetes,unresponsiveness
24,diabetes,mental status changes
25,diabetes,vertigo
26,diabetes,vomiting
27,diabetes,labored breathing
28,depression mental,feeling suicidal
29,depression mental,suicidal
30,depression mental,hallucinations auditory
31,depression mental,feeling hopeless
32,depression mental,weepiness
33,depression mental,sleeplessness
34,depression mental,motor retardation
35,depression mental,irritable mood
36,depression mental,blackout
37,depression mental,mood depressed
38,depression mental,hallucinations visual
39,depression mental,worry
40,depression mental,agitation
41,depression mental,tremor
42,depression mental,intoxication
43,depression mental,verbal auditory hallucinations
44,depression mental,energy increased
45,depression mental,difficulty
46,depression mental,nightmare
47,depression mental,unable to concentrate
48,depression mental,homelessness
49,depressive disorder,feeling suicidal
50,depressive disorder,suicidal
51,depressive disorder,hallucinations auditory
52,depressive disorder,feeling hopeless
53,depressive disorder,weepiness
54,depressive disorder,sleeplessness
55,depressive disorder,motor retardation
56,depressive disorder,irritable mood
57,depressive disorder,blackout
58,depressive disorder,mood depressed
59,depressive disorder,hallucinations visual
60,depressive disorder,worry
61,depressive disorder,agitation
62,depressive disorder,tremor
63,depressive disorder,intoxication
64,depressive disorder,verbal auditory hallucinations
65,depressive disorder,energy increased
66,depressive disorder,difficulty
67,depressive disorder,nightmare
68,depressive disorder,unable to concentrate
69,depressive disorder,homelessness
70,coronary arteriosclerosis,pain chest
71,coronary arteriosclerosis,angina pectoris
72,coronary arteriosclerosis,shortness of breath
73,coronary arteriosclerosis,hypokinesia
74,coronary arteriosclerosis,sweat
75,coronary arteriosclerosis,sweating increased
76,coronary arteriosclerosis,pressure chest
77,coronary arteriosclerosis,dyspnea on exertion
78,coronary arteriosclerosis,orthopnea
79,coronary arteriosclerosis,chest tightness
80,coronary heart disease,pain chest
81,coronary heart disease,angina pectoris
82,coronary heart disease,shortness of breath
83,coronary heart disease,hypokinesia
84,coronary heart disease,sweat
85,coronary heart disease,sweating increased
86,coronary heart disease,pressure chest
87,coronary heart disease,dyspnea on exertion
88,coronary heart disease,orthopnea
89,coronary heart disease,chest tightness
90,pneumonia,cough
91,pneumonia,fever
92,pneumonia,decreased translucency
93,pneumonia,shortness of breath
94,pneumonia,rale
95,pneumonia,productive cough
96,pneumonia,pleuritic pain
97,pneumonia,yellow sputum
98,pneumonia,breath sounds decreased
99,pneumonia,chill
100,pneumonia,rhonchus
101,pneumonia,green sputum
102,pneumonia,non-productive cough
103,pneumonia,wheezing
104,pneumonia,haemoptysis
105,pneumonia,distress respiratory
106,pneumonia,tachypnea
107,pneumonia,malaise
108,pneumonia,night sweat
109,failure heart congestive,shortness of breath
110,failure heart congestive,orthopnea
111,failure heart congestive,jugular venous distention
112,failure heart congestive,rale
113,failure heart congestive,dyspnea
114,failure heart congestive,cough
115,failure heart congestive,wheezing
116,accident cerebrovascular,dysarthria
117,accident cerebrovascular,asthenia
118,accident cerebrovascular,speech slurred
119,accident cerebrovascular,facial paresis
120,accident cerebrovascular,hemiplegia
121,accident cerebrovascular,unresponsiveness
122,accident cerebrovascular,seizure
123,accident cerebrovascular,numbness
124,asthma,wheezing
125,asthma,cough
126,asthma,shortness of breath
127,asthma,chest tightness
128,asthma,non-productive cough
129,asthma,pleuritic pain
130,asthma,productive cough
131,asthma,symptom aggravating factors
132,asthma,distress respiratory
133,myocardial infarction,pain chest
134,myocardial infarction,st segment elevation
135,myocardial infarction,sweat
136,myocardial infarction,sweating increased
137,myocardial infarction,shortness of breath
138,myocardial infarction,st segment depression
139,myocardial infarction,hypokinesia
140,myocardial infarction,angina pectoris
141,myocardial infarction,pressure chest
142,myocardial infarction,t wave inverted
143,myocardial infarction,orthopnea
144,myocardial infarction,rale
145,myocardial infarction,chest tightness
146,myocardial infarction,presence of q wave
147,myocardial infarction,palpitation
148,myocardial infarction,dyspnea
149,myocardial infarction,chest discomfort
150,myocardial infarction,bradycardia
151,myocardial infarction,syncope
152,hypercholesterolemia,pain
153,hypercholesterolemia,pain chest
154,hypercholesterolemia,sweat
155,hypercholesterolemia,sweating increased
156,hypercholesterolemia,nonsmoker
157,hypercholesterolemia,pressure chest
158,hypercholesterolemia,syncope
159,hypercholesterolemia,numbness
160,hypercholesterolemia,chest discomfort
161,hypercholesterolemia,shortness of breath
162,hypercholesterolemia,st segment depression
163,hypercholesterolemia,worry
164,hypercholesterolemia,t wave inverted
165,hypercholesterolemia,bradycardia
166,hypercholesterolemia,dyspnea
167,infection,fever
168,infection,erythema
169,infection,decreased translucency
170,infection,hepatosplenomegaly
171,infection,chill
172,infection,pruritus
173,infection,diarrhea
174,infection,abscess bacterial
175,infection,swelling
176,infection,pain
177,infection,apyrexial
178,infection,cough
179,infection urinary tract,fever
180,infection urinary tract,dysuria
181,infection urinary tract,hematuria
182,infection urinary tract,renal angle tenderness
183,infection urinary tract,lethargy
184,infection urinary tract,asthenia
185,infection urinary tract,hyponatremia
186,infection urinary tract,hemodynamically stable
187,infection urinary tract,distress respiratory
188,infection urinary tract,difficulty passing urine
189,infection urinary tract,mental status changes
190,infection urinary tract,consciousness clear
191,anemia,chill
192,anemia,guaiac positive
193,anemia,monoclonal
194,anemia,ecchymosis
195,anemia,tumor cell invasion
196,anemia,haemorrhage
197,anemia,pallor
198,anemia,asthenia
199,anemia,fatigue
200,anemia,heme positive
201,anemia,pain back
202,anemia,orthostasis
