,Source,Target
0,hypertensive disease, pain chest
1,hypertensive disease, shortness breath
2,hypertensive disease, dizziness
3,hypertensive disease, asthenia
4,hypertensive disease, fall
5,hypertensive disease, syncope
6,hypertensive disease, vertigo
7,hypertensive disease, sweat
8,hypertensive disease, sweat increase
9,hypertensive disease, palpitation
10,hypertensive disease, nausea
11,hypertensive disease, angina pectoris
12,hypertensive disease, pressure chest
13,diabetes, polyuria
14,diabetes, polydypsia
15,diabetes, shortness breath
16,diabetes, pain chest
17,diabetes, asthenia
18,diabetes, nausea
19,diabetes, orthopnea
20,diabetes, rale
21,diabetes, sweat
22,diabetes, sweat increase
23,diabetes, unresponsiveness
24,diabetes, mental status change
25,diabetes, vertigo
26,diabetes, vomit
27,diabetes, labor breathe
28,depression mental, feel suicidal
29,depression mental, suicidal
30,depression mental, hallucinations auditory
31,depression mental, feel hopeless
32,depression mental, weepiness
33,depression mental, sleeplessness
34,depression mental, motor retardation
35,depression mental, irritable mood
36,depression mental, blackout
37,depression mental, mood depress
38,depression mental, hallucinations visual
39,depression mental, worry
40,depression mental, agitation
41,depression mental, tremor
42,depression mental, intoxication
43,depression mental, verbal auditory hallucinations
44,depression mental, energy increase
45,depression mental, difficulty
46,depression mental, nightmare
47,depression mental, unable concentrate
48,depression mental, homelessness
49,depressive disorder, feel suicidal
50,depressive disorder, suicidal
51,depressive disorder, hallucinations auditory
52,depressive disorder, feel hopeless
53,depressive disorder, weepiness
54,depressive disorder, sleeplessness
55,depressive disorder, motor retardation
56,depressive disorder, irritable mood
57,depressive disorder, blackout
58,depressive disorder, mood depress
59,depressive disorder, hallucinations visual
60,depressive disorder, worry
61,depressive disorder, agitation
62,depressive disorder, tremor
63,depressive disorder, intoxication
64,depressive disorder, verbal auditory hallucinations
65,depressive disorder, energy increase
66,depressive disorder, difficulty
67,depressive disorder, nightmare
68,depressive disorder, unable concentrate
69,depressive disorder, homelessness
70,coronary arteriosclerosis, pain chest
71,coronary arteriosclerosis, angina pectoris
72,coronary arteriosclerosis, shortness breath
73,coronary arteriosclerosis, hypokinesia
74,coronary arteriosclerosis, sweat
75,coronary arteriosclerosis, sweat increase
76,coronary arteriosclerosis, pressure chest
77,coronary arteriosclerosis, dyspnea exertion
78,coronary arteriosclerosis, orthopnea
79,coronary arteriosclerosis, chest tightness
80,coronary heart disease, pain chest
81,coronary heart disease, angina pectoris
82,coronary heart disease, shortness breath
83,coronary heart disease, hypokinesia
84,coronary heart disease, sweat
85,coronary heart disease, sweat increase
86,coronary heart disease, pressure chest
87,coronary heart disease, dyspnea exertion
88,coronary heart disease, orthopnea
89,coronary heart disease, chest tightness
90,pneumonia, cough
91,pneumonia, fever
92,pneumonia, decrease translucency
93,pneumonia, shortness breath
94,pneumonia, rale
95,pneumonia, productive cough
96,pneumonia, pleuritic pain
97,pneumonia, yellow sputum
98,pneumonia, breath sound decrease
99,pneumonia, chill
100,pneumonia, rhonchus
101,pneumonia, green sputum
102,pneumonia, non-productive cough
103,pneumonia, wheeze
104,pneumonia, haemoptysis
105,pneumonia, distress respiratory
106,pneumonia, tachypnea
107,pneumonia, malaise
108,pneumonia, night sweat
109,failure heart congestive, shortness breath
110,failure heart congestive, orthopnea
111,failure heart congestive, jugular venous distention
112,failure heart congestive, rale
113,failure heart congestive, dyspnea
114,failure heart congestive, cough
115,failure heart congestive, wheeze
116,accident cerebrovascular, dysarthria
117,accident cerebrovascular, asthenia
118,accident cerebrovascular, speech slur
119,accident cerebrovascular, facial paresis
120,accident cerebrovascular, hemiplegia
121,accident cerebrovascular, unresponsiveness
122,accident cerebrovascular, seizure
123,accident cerebrovascular, numbness
124,asthma, wheeze
125,asthma, cough
126,asthma, shortness breath
127,asthma, chest tightness
128,asthma, non-productive cough
129,asthma, pleuritic pain
130,asthma, productive cough
131,asthma, symptom aggravate factor
132,asthma, distress respiratory
133,myocardial infarction, pain chest
134,myocardial infarction, st segment elevation
135,myocardial infarction, sweat
136,myocardial infarction, sweat increase
137,myocardial infarction, shortness breath
138,myocardial infarction, st segment depression
139,myocardial infarction, hypokinesia
140,myocardial infarction, angina pectoris
141,myocardial infarction, pressure chest
142,myocardial infarction, wave invert
143,myocardial infarction, orthopnea
144,myocardial infarction, rale
145,myocardial infarction, chest tightness
146,myocardial infarction, presence q wave
147,myocardial infarction, palpitation
148,myocardial infarction, dyspnea
149,myocardial infarction, chest discomfort
150,myocardial infarction, bradycardia
151,myocardial infarction, syncope
